X,Y,OBJECTID,Facility_ID,Facility_Name,Facility_Type_Code,Facility_Type,Map_Symbol,Facility_Type_Detail,Facility_Type_Abbreviation,Licensed_Beds_Total,Telephone,County,Address_Full,latitude,longitude,CDPHE_HFEMS_Licensed,Operating_Status,Date_Data_Updated,Source
-105.148026,39.950745,294,010316,ADVENTHEALTH AVISTA,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,114,303-673-1000,BOULDER,"100 HEALTH PARK DR, LOUISVILLE, CO 80027-9583",39.950745,-105.148026,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.886055,39.403603,295,01L581,ADVENTHEALTH CASTLE ROCK,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,90,720-455-5000,DOUGLAS,"2350 MEADOWS BLVD, CASTLE ROCK, CO 80109",39.403603,-104.886055,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.988419,39.576485,300,010456,ADVENTHEALTH LITTLETON,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,231,303-730-8900,ARAPAHOE,"7700 S BROADWAY, LITTLETON, CO 80122-2602",39.576485,-104.988419,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.769936,39.549644,301,01J544,ADVENTHEALTH PARKER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,179,303-269-4000,DOUGLAS,"9395 CROWN CREST BLVD, PARKER, CO 80138-8573",39.549644,-104.769936,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.973557,39.670654,302,010424,ADVENTHEALTH PORTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,368,303-778-1955,DENVER,"2525 S DOWNING ST, DENVER, CO 80210-5817",39.670654,-104.973557,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.870712,37.248627,515,01M130,"ANIMAS SURGICAL HOSPITAL, LLC",011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,12,970-247-3537,LA PLATA,"575 RIVERGATE LN  UNIT 100, DURANGO, CO 81301-7488",37.248627,-107.870712,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.839421,38.189182,593,180203,ARKANSAS VALLEY CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-267-3520,CROWLEY,"12750 HWY 96, ORDWAY, CO 81034",38.189182,-103.839421,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.548805,37.977547,596,010210,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,719-363-1428,OTERO,"1100 CARSON AVE, LA JUNTA, CO 81050",37.977547,-103.548805,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.156106,38.434865,600,180607,ARROWHEAD CORRECTIONAL CENTER,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-269-5644,FREMONT,"EAST US HIGHWAY 50 & EVANS BOULEVARD, CANON CITY, CO 81212",38.434865,-105.156106,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.837822,39.190014,633,010907,ASPEN VALLEY HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,970-544-1261,PITKIN,"401 CASTLE CREEK RD, ASPEN, CO 81611-1159",39.190014,-106.837822,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.010811,40.521141,780,01K608,BANNER FORT COLLINS MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,29,970-821-4000,LARIMER,"4700 LADY MOON DR, FORT COLLINS, CO 80528-4426",40.521141,-105.010811,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.053528,40.413666,785,010340,BANNER MCKEE MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,118,970-820-4640,LARIMER,"2000 BOISE AVE, LOVELAND, CO 80538",40.413666,-105.053528,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.709038,40.413891,787,010386,BANNER NORTH COLORADO MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,378,970-810-4121,WELD,"1801 16TH ST, GREELEY, CO 80631",40.413891,-104.709038,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.828247,39.727409,823,01D717,"BEHAVIORAL HEALTH & WELLNESS CTR AT TMCA, THE",01C,Hospital,Hospital,Licensed Only Psychiatric Hospital,LICPSY,120,303-360-3125,ARAPAHOE,"700 POTOMAC ST, AURORA, CO 80011",39.727409,-104.828247,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
